epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2918.88,0.82365,0.46844,1.12027,0.90213,0.85476,0.90326,0.53559,1.49057,0.72915,1.74964,0.000173375,0.000173375,0.000173375
89,2952.81,0.83446,0.46178,1.1153,0.88305,0.87506,0.89457,0.52566,1.50242,0.75787,1.78023,0.000161,0.000161,0.000161
90,2986.12,0.82567,0.46842,1.10596,0.87974,0.8857,0.89322,0.53101,1.49603,0.76075,1.76671,0.000148625,0.000148625,0.000148625
91,3019.77,0.77845,0.39031,1.11919,0.89393,0.85832,0.89455,0.52815,1.50708,0.72838,1.77112,0.00013625,0.00013625,0.00013625
92,3052.13,0.73798,0.36583,1.09416,0.89776,0.85522,0.88121,0.52406,1.51249,0.73142,1.77116,0.000123875,0.000123875,0.000123875
93,3084.28,0.73776,0.3639,1.09019,0.92153,0.84256,0.89761,0.5375,1.49708,0.73703,1.76292,0.0001115,0.0001115,0.0001115
94,3116.76,0.72836,0.35957,1.07836,0.88568,0.87441,0.89763,0.52836,1.49769,0.72572,1.78292,9.9125e-05,9.9125e-05,9.9125e-05
95,3149.92,0.71769,0.35788,1.08504,0.90703,0.85792,0.89944,0.53343,1.51071,0.73208,1.79265,8.675e-05,8.675e-05,8.675e-05
96,3182.85,0.71005,0.35463,1.07069,0.89945,0.87172,0.89927,0.53044,1.50449,0.73059,1.77955,7.4375e-05,7.4375e-05,7.4375e-05
97,3215.48,0.68958,0.34375,1.06242,0.89688,0.86713,0.89466,0.52506,1.51471,0.72861,1.80252,6.2e-05,6.2e-05,6.2e-05
98,3247.65,0.70501,0.34523,1.05783,0.89128,0.87269,0.89616,0.52956,1.50166,0.72085,1.79931,4.9625e-05,4.9625e-05,4.9625e-05
99,3280.19,0.68184,0.34181,1.04932,0.89239,0.87531,0.89988,0.53022,1.499,0.72021,1.7988,3.725e-05,3.725e-05,3.725e-05
100,3311.93,0.68389,0.34466,1.0623,0.88005,0.8824,0.90248,0.53352,1.49707,0.72331,1.79062,2.4875e-05,2.4875e-05,2.4875e-05
